product_name_langs,product_name_texts,additives_n,complete,completeness,created_t,ingredients_from_palm_oil_n,ingredients_n,ingredients_percent_analysis,ingredients_with_specified_percent_n,ingredients_with_unspecified_percent_n,ingredients_without_ciqual_codes_n,known_ingredients_n,last_modified_t,last_updated_t,nova_group,popularity_key,rev,unknown_ingredients_n,schema_version,prediction
main | en,Salt | Salt,1.0,0.0,0.6000000238418579,1.489066276E9,0.0,2.0,1.0,0.0,2.0,1.0,2.0,1.740269495E9,1.740269495E9,3.0,0.0,3.0,0.0,999.0,1
main | en,Sour Cream | Sour Cream,4.0,0.0,0.6000000238418579,1.489093959E9,0.0,10.0,1.0,0.0,8.0,8.0,13.0,1.740269731E9,1.740269731E9,4.0,0.0,4.0,1.0,999.0,1
main | en,Enriched Spaghetti | Enriched Spaghetti,0.0,0.0,0.6000000238418579,1.489092769E9,0.0,7.0,1.0,0.0,5.0,6.0,13.0,1.740269776E9,1.740269776E9,1.0,0.0,4.0,1.0,999.0,1
main | en,Granola Fruit Snack | Granola Fruit Snack,1.0,0.0,0.6000000238418579,1.48906705E9,0.0,11.0,1.0,0.0,11.0,3.0,25.0,1.740269934E9,1.740269934E9,4.0,0.0,3.0,0.0,999.0,1
main | en,Gmills hny nut cheerios sweetened whl grn oat cereal | Gmills hny nut cheerios sweetened whl grn oat cereal,1.0,0.0,0.7875000238418579,1.438278161E9,0.0,35.0,1.0,0.0,27.0,26.0,31.0,1.77263897E9,1.77263897E9,4.0,1.0,22.0,4.0,1003.0,0
main | en,Sausage With Natural Juices | Sausage With Natural Juices,1.0,0.0,0.675000011920929,1.489055857E9,0.0,10.0,1.0,0.0,9.0,4.0,18.0,1.74027028E9,1.74027028E9,4.0,0.0,8.0,2.0,999.0,1
main | en,"Kaukauna, spreadable cheese, bacon jalapeno | Kaukauna, spreadable cheese, bacon jalapeno",6.0,0.0,0.5,1.489065539E9,0.0,28.0,1.0,0.0,24.0,15.0,43.0,1.587580057E9,1.734806701E9,4.0,0.0,2.0,1.0,999.0,0
main | en,"Modern Bistro, Mushroom Barley Soup | Modern Bistro, Mushroom Barley Soup",1.0,0.0,0.5,1.489102192E9,0.0,45.0,1.0,0.0,38.0,14.0,48.0,1.587596024E9,1.734796331E9,4.0,0.0,2.0,7.0,999.0,0
main | en,Pumpkin Butter | Pumpkin Butter,0.0,0.0,0.6000000238418579,1.489062578E9,0.0,9.0,1.0,0.0,9.0,2.0,18.0,1.740270685E9,1.740270685E9,3.0,0.0,3.0,1.0,999.0,1
main | en,"Unsalted tops saltines, unsalted | Unsalted tops saltines, unsalted",2.0,0.0,0.5,1.489078098E9,0.0,22.0,1.0,0.0,15.0,15.0,34.0,1.587589521E9,1.734800545E9,3.0,0.0,2.0,3.0,999.0,1
main | en,Apple Sauce | Apple Sauce,0.0,0.0,0.6000000238418579,1.489135954E9,0.0,4.0,1.0,0.0,3.0,2.0,6.0,1.740270865E9,1.740270865E9,1.0,0.0,3.0,0.0,999.0,1
main | en,Crunchy Peanut Butter | Crunchy Peanut Butter,0.0,0.0,0.6000000238418579,1.489135294E9,0.0,7.0,1.0,0.0,6.0,2.0,14.0,1.740271075E9,1.740271075E9,4.0,0.0,4.0,1.0,999.0,1
main | en,Sliced Peaches | Sliced Peaches,0.0,0.0,0.6000000238418579,1.489094044E9,0.0,4.0,1.0,0.0,4.0,1.0,8.0,1.740271078E9,1.740271078E9,3.0,0.0,4.0,0.0,999.0,1
main | en,Delux Pizza | Delux Pizza,9.0,0.0,0.675000011920929,1.489069246E9,0.0,66.0,1.0,0.0,55.0,32.0,54.0,1.765231871E9,1.77128802E9,4.0,1.0,16.0,12.0,1002.0,0
main | en,Gummi Military Heroes | Gummi Military Heroes,5.0,0.0,0.6000000238418579,1.489071944E9,0.0,15.0,1.0,0.0,10.0,10.0,21.0,1.740271577E9,1.740271577E9,4.0,0.0,3.0,3.0,999.0,1
main | en,"Daystar Dessets, Llc., Strawberry Swirl Cheesecake | Daystar Dessets, Llc., Strawberry Swirl Cheesecake",4.0,0.0,0.4000000059604645,1.489078021E9,0.0,16.0,1.0,0.0,15.0,7.0,21.0,1.489078021E9,1.707493699E9,4.0,0.0,1.0,1.0,999.0,1
main | en,Smoked ham & mustard | Smoked ham & mustard,6.0,0.0,0.675000011920929,1.517660671E9,0.0,41.0,1.0,1.0,33.0,21.0,38.0,1.774462938E9,1.774462938E9,4.0,0.0,22.0,3.0,1003.0,0
main | en,Organic Roasted No Salt Almonds | Organic Roasted No Salt Almonds,0.0,0.0,0.6000000238418579,1.489073181E9,0.0,2.0,1.0,0.0,2.0,0.0,8.0,1.740271813E9,1.740271813E9,3.0,0.0,3.0,0.0,999.0,1
main | en,Chocolate Covered Peanut Brittle Pieces | Chocolate Covered Peanut Brittle Pieces,2.0,0.0,0.6000000238418579,1.489052038E9,0.0,18.0,1.0,0.0,15.0,5.0,27.0,1.740271955E9,1.740271955E9,4.0,0.0,3.0,2.0,999.0,1
